epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1588,2.70202,4.69111,1.81732,0.00114,0.21429,0.00077,0.00025,1.83949,4.20161,1.36761,0.000544553,0.000544553,0.000544553
2,61.4309,2.12019,3.65754,1.41695,0.00629,0.76531,0.00769,0.00349,1.88599,4.04631,1.34457,0.00108933,0.00108933,0.00108933
3,96.8532,2.18882,3.33996,1.42778,0.73634,0.78837,0.75957,0.29472,1.89341,2.49976,1.36233,0.0016231,0.0016231,0.0016231
4,132.293,2.1501,2.84584,1.41474,0.79513,0.39796,0.42703,0.18039,2.5258,4.92792,1.6391,0.00161749,0.00161749,0.00161749
5,166.223,2.08813,2.85661,1.52112,0.79513,0.39796,0.42703,0.18039,2.5258,4.92792,1.6391,0.00160099,0.00160099,0.00160099
6,200.88,2.15187,2.66891,1.47559,0.94817,0.32653,0.44597,0.20237,2.28219,3.00302,1.79252,0.00158448,0.00158448,0.00158448
7,235.853,2.05877,2.50377,1.4318,0.70237,0.69388,0.69169,0.21556,2.51706,2.31159,1.83741,0.00156798,0.00156798,0.00156798
8,274.094,1.98602,2.44571,1.40642,0.68569,0.78463,0.77253,0.25442,2.08492,2.97714,1.46742,0.00155148,0.00155148,0.00155148
9,311.032,1.94996,2.21587,1.3691,0.68569,0.78463,0.77253,0.25442,2.08492,2.97714,1.46742,0.00153497,0.00153497,0.00153497
10,346.081,1.8383,2.09586,1.30368,0.73501,0.87208,0.81539,0.38217,1.60612,2.09007,1.30928,0.00151847,0.00151847,0.00151847
11,380.928,1.88181,2.21437,1.38428,0.82472,0.87358,0.89031,0.39059,1.69926,1.88703,1.28828,0.00150197,0.00150197,0.00150197
12,416.014,1.93501,2.2046,1.34373,0.69428,0.84367,0.79752,0.37559,1.67923,2.18497,1.31123,0.00148546,0.00148546,0.00148546
13,450.061,1.80041,2.04386,1.31548,0.70812,0.76531,0.74731,0.3583,1.79208,2.20269,1.46606,0.00146896,0.00146896,0.00146896
14,483.817,1.77144,2.12371,1.30609,0.70812,0.76531,0.74731,0.3583,1.79208,2.20269,1.46606,0.00145246,0.00145246,0.00145246
15,518.122,1.70708,1.89775,1.26624,0.95853,0.78418,0.95459,0.50733,1.56862,2.52909,1.24312,0.00143595,0.00143595,0.00143595
16,552.524,1.63413,1.83883,1.31088,0.96625,0.80465,0.9539,0.53901,1.52843,1.94166,1.25313,0.00141945,0.00141945,0.00141945
17,587.009,1.67737,1.92325,1.26877,0.96696,0.83524,0.94361,0.35837,2.18551,1.83976,1.397,0.00140295,0.00140295,0.00140295
18,621.005,1.79477,1.99928,1.28613,0.85892,0.81624,0.83993,0.30894,1.9704,1.9528,1.26744,0.00138644,0.00138644,0.00138644
19,654.912,1.77096,1.80376,1.27879,0.85892,0.81624,0.83993,0.30894,1.9704,1.9528,1.26744,0.00136994,0.00136994,0.00136994
20,689,1.75813,1.86057,1.28852,0.63659,0.86627,0.65659,0.33286,1.69301,2.05908,1.38947,0.00135344,0.00135344,0.00135344
21,722.665,1.6542,1.76743,1.32064,0.96433,0.86771,0.97596,0.54236,1.54812,1.76109,1.24557,0.00133693,0.00133693,0.00133693
22,766.737,1.63746,1.7235,1.28506,0.94643,0.81626,0.93613,0.40301,1.90737,1.74795,1.31672,0.00132043,0.00132043,0.00132043
23,815.653,1.65837,1.65944,1.26623,0.94643,0.81626,0.93613,0.40301,1.90737,1.74795,1.31672,0.00130393,0.00130393,0.00130393
24,859.272,1.64492,1.74126,1.28384,0.78575,0.86263,0.93784,0.44672,1.80272,1.74207,1.4919,0.00128742,0.00128742,0.00128742
25,894.163,1.67653,1.67733,1.29041,0.80395,0.88061,0.93318,0.44167,1.63949,1.66182,1.35014,0.00127092,0.00127092,0.00127092
26,928.137,1.62827,1.71011,1.21561,0.97098,0.87564,0.96856,0.41166,1.70031,1.63658,1.29012,0.00125442,0.00125442,0.00125442
27,962.333,1.64199,1.56463,1.26017,0.75406,0.89579,0.89214,0.41008,1.63835,1.87116,1.3272,0.00123791,0.00123791,0.00123791
28,998.803,1.55127,1.62848,1.21813,0.75406,0.89579,0.89214,0.41008,1.63835,1.87116,1.3272,0.00122141,0.00122141,0.00122141
29,1032.64,1.49898,1.51556,1.21269,0.99128,0.89903,0.98859,0.50516,1.67516,1.62083,1.17036,0.00120491,0.00120491,0.00120491
30,1066.73,1.43571,1.50966,1.18188,0.9697,0.86773,0.97063,0.52184,1.7444,1.65082,1.20547,0.0011884,0.0011884,0.0011884
